account_id,customer_id,balance,iban
1,330,-1573094,FI5598296752114394
2,483,5977434,CZ7917525786547371181651
3,208,-2458210,LT812345718518087428
4,460,2739517,GT39813776261248063978085787
5,99,5736260,KZ301003620623271114
6,46,-2367046,EE148921347736275816
7,111,-1029626,NL19NFWK1808680533
8,13,-6003177,TN5226062428632671803719
9,22,-6380527,FO4312466501272455
10,358,9329080,BH03917052455621804929
11,246,9773274,MR0825797156643493137017534
12,115,-1789861,GR8682947553648492174234256
13,86,-1672209,FR0453741177844280648578404
14,294,-6226923,ES5263471306788728470322
15,78,-8695496,AD1570743382640112288588
16,250,-5969503,BG13BISW86622596239306
17,73,3693400,GE42621652504603760984
18,53,-720741,KW5244705627063249757104030989
19,155,1667922,NO1729615234731
20,480,-8887397,IS717211133681143056686434
21,347,-2745828,LI3815477137336687212
22,160,-8716944,GE39822710754769521838
23,249,-5983358,TR452863558324825526881830
24,438,9566243,NO7096233987258
25,78,-8153946,NL97TNFF0908463265
26,375,-248619,CR2446331456567256278
27,333,4868311,AD3312787522428583129072
28,437,-6171589,TN2853436282416210140866
29,151,6470723,MT55KTIU34076794895947160278719
30,58,-6162646,IE26MXOV72508211006546
31,399,9267296,IS190255897391177736287746
32,328,-2609857,GE98999868756872536497
33,337,-1565279,GT47101369733688357465246736
34,327,-2738399,PL49741653848218608802486240
35,37,-5578434,AD6717465673756135683464
36,149,-6310691,KZ397715987817845635
37,459,-4170576,DK9756125383038223
38,384,-8132621,KW6301766471272915386730041543
39,245,2121141,DO40315164872557735482831111
40,447,-2349186,BG29MQFF35626316372568
41,249,-5797369,GR5836224352622970458502054
42,313,561628,PS174956637380255715768610748
43,487,-2917627,LB06131816628270627368448778
44,488,-2832614,FR3316274184655444650175727
45,28,-680883,IS723841034243726575624816
46,438,5289771,BE32114864632404
47,354,2626368,IE57CTKX17882578727548
48,116,8795649,LB91233647837643476258749185
49,418,-8489188,GB08WPOQ32079796171839
50,41,7903435,FO9408564917757790
51,313,55723,IE35BVDQ67786766458164
52,210,-1552139,LV77INOQ1656354309358
53,292,9485399,LI7400768234788217486
54,294,-9913065,MD4569343205564631794471
55,115,4020435,CR9084137718812222822
56,460,-3125526,TR146635142434041235851366
57,377,3383001,MT14LRKG36763942847651786782753
58,486,8818538,PL26121446827161347802921943
59,448,-4060625,BE37844115732865
60,317,557194,LB69863635151148294633955084
61,98,5744582,IE97QFYB49812814973764
62,428,-4441356,GI82KNFM556814075077096
63,178,-8632547,PT64831857578558553071578
64,439,-7961884,PL72546822495651835084326583
65,305,-9390559,AZ40620166134837650479078232
66,260,6143219,NL63OAQZ8318706857
67,317,377538,DE67070151870593733507
68,446,5889646,FO2785138532964713
69,269,8067297,LI1567031617893111687
70,281,4811080,CZ7688601141290453181834
71,262,807141,MK83075930362532870
72,441,9183465,ES4077747070731250377398
73,136,4338945,PK8785833783876805228822
74,237,-9362287,NL71WTIR6131354256
75,170,-337516,ME22571330452771832117
76,325,681357,RS09118516406803732863
77,419,-5414608,DK2919136743571493
78,152,9523904,FI8042763148248124
79,376,5121770,LT045146187258271434
80,244,2114848,KW5048825826433726562317770918
81,50,6661529,IS491127114743114837999156
82,464,262381,FR5021242333531483688364016
83,110,-4413444,ES0987410678888366925661
84,445,8128003,IT300KNKQI83765888451479834
85,88,-9719967,TN8549865637186168261960
86,261,-1525295,CY27752645900868132315968751
87,102,4849643,LI3994685658763634878
88,266,5801896,LT742828287160230896
89,171,2243822,AL71613240961019313819666566
90,436,7686801,SE4618694626732699396225
91,178,9296144,NO6681475553245
92,259,-7861530,NO9329374952723
93,177,5794635,BA753663708728032435
94,326,-2087557,HU93733144101141839550300662
95,316,883583,LU989565766280122742
96,130,7620308,BH46688503382363694173
97,125,-4314471,PS149403468693020612028658231
98,448,-7792721,MT22PKUF29753346248326348752270
99,63,3698560,KW9570169288366282174566121776
100,184,6260593,DE53187442486068813246
101,22,3524764,PS041353817414342559685047739
102,120,-8806189,GE88882419409716486409
103,43,-2365776,SK8193364319975134218985
104,90,-3263739,MC3909173336141311485520453
105,54,3048870,AE434018288572241527647
106,214,-5095770,BA161087777611537336
107,357,1568104,LT482350698386115199
108,471,1029733,AL77238809288203862823164766
109,334,-5363442,RO03YADN5834207601939852
110,423,3859075,ME20875345227608371158
111,9,8141448,BA254250992688180776
112,6,6220825,MD8399332548453135323312
113,206,5656340,AD9751621533687487370371
114,276,-7927395,GR6651836273855380684402779
115,148,7438623,HU06214375051403349361822481
116,157,7701231,GE40671487200511460225
117,155,-9750757,ES3132451576627635426358
118,56,-3989683,SM1935355797187168547070155
119,271,2891184,IL814726377758878824356
120,39,-7705674,GT54322563727042262725224155
121,192,6333881,KZ826138020173850205
122,442,-9642587,AE577471241589483695787
123,297,-6477748,PK8224772653025992941136
124,256,-3449871,BH09268511847817713886
125,308,-8328534,NL78HEXQ3662488165
126,17,3038717,LT143177252391075328
127,10,6576935,NL62LSUN9835541279
128,145,-9386216,AE327508877226681260622
129,294,437745,MK02932734342448727
130,352,-1956910,ES9735456398262122744728
131,311,2061945,FO9205648381447843
132,413,-6235039,PT47752652251552252873689
133,337,-8667224,MU2858083679582911718632336773
134,140,5553613,IT181XWEQI28169625419561246
135,85,8028717,FO7765969538161561
136,167,616924,PK2931858206497050286841
137,106,-196801,NO6475923036892
138,268,9625326,VG3727854328873118553362
139,134,907367,MT92VRTQ87722387674535687231110
140,24,-5938689,CY07618272146681234810448836
141,353,388162,NO7274161642557
142,375,6927749,AD0745817363871242739030
143,406,-6331563,SK2717275190734623445373
144,291,4259971,GL9537176676906971
145,223,-9276527,TR313088916453748457383907
146,345,-2250602,IT775FUDNI58296170317276565
147,216,-9138459,IS656096908616081284472878
148,91,-1530,GI92HZOZ974216718988530
149,372,-372877,MR9080294517828938243368874
150,134,-4080791,IL455373486286781581544
151,344,-8458513,DK9182620603079057
152,415,-4061532,IL781158556651533456734
153,114,-3567613,RS48851351634674334557
154,54,-7820936,EE918113641723148627
155,292,288920,IT784QOHAI98133825874023146
156,97,2713232,GR4322148303448232182223354
157,490,-5530690,NO5863238540321
158,11,-7552836,HU66017635552544020320674024
159,279,-7712995,LB47161284173561427825782237
160,404,7149951,PT49161951825571761154818
161,105,-3684447,GE85328413383757157129
162,34,-6739663,TN9873248817459453931454
163,56,7219631,PT48255202654860662082244
164,356,-6837725,ES1070656188138484218037
165,441,144722,FR1104232614433132818549417
166,246,-9433738,GB13JHDI01413559561437
167,453,9468376,DE30162324224317882719
168,145,-8634020,SA4655865438345435784709
169,295,-3115954,EE508361634188643341
170,317,-4376181,FR0620628309518161579803384
171,482,-2587520,LT671881692391355171
172,152,-9955705,DE27822212863525255151
173,118,1397994,FR8062652376702470167659883
174,405,-7558861,KW1686236264294867772331578427
175,438,4612202,DO67576024676647579010684429
176,169,8058903,GT42167676792081056245752281
177,66,-7639345,GI98IBRZ325968576773371
178,427,4413105,FI6529372846757301
179,479,5196512,LB61174072365783672575113547
180,75,-5285886,SK7479653496276290195067
181,177,-9262193,AE308664419168422257672
182,199,-8418371,LB96165516654811655746573978
183,402,-5203186,MU0452330226832733377716494862
184,486,-3185013,MK59265168618048389
185,72,5388392,DK1421907383013036
186,176,-4754056,AL26472465037064444755767388
187,60,-4575309,ES6343242525866663685314
188,124,-9850648,MK21263692197192686
189,320,5917799,PK4603745688411245662461
190,275,-4911709,ES0931281619324283328377
191,187,-3075683,BH09639870547938802865
192,374,5623126,DO56960432254766506539584671
193,241,-4713314,HR3136152202725632377
194,140,7622980,MD7426115361273221788802
195,277,2641090,ME32855424754370227584
196,333,9138616,LV32AZYG9539456275258
197,189,5667903,RS77272617246168584328
198,73,-9050032,LT457508635747296336
199,46,-7972712,KW9497574718273522556325084087
200,451,3502069,FO6225505124074773
201,276,-8090332,ES3299216445231145411234
202,381,-5795758,HU05372624539542751364226112
203,381,3794185,BA685713207677773845
204,153,-6362521,AZ13803221445474499210136817
205,396,1524460,HR2526179423668865006
206,74,957190,AT050389711126136344
207,102,3558582,IL786332741375241245696
208,137,-12441,TR704448426388385770741339
209,152,538523,LB22614574491313715333014743
210,429,-6119756,FO8710924511963148
211,90,-7969763,AE417982264848155747446
212,289,2206041,PT02374057427326722846711
213,96,6188553,AL66755181345310326858664506
214,234,220420,MC9182847273614789514154215
215,181,495424,AL18634313334420203095869497
216,482,9526325,AZ35381557870332572934420680
217,466,7584905,KZ507533376996761547
218,224,8642080,GR9308287982193535590200677
219,59,-1159660,CZ4329504853179463005039
220,8,6309471,DE37620421478738840137
221,43,-4468993,HU52235275657389222916558572
222,310,-8216302,AE768967745026747858312
223,154,8621933,GT76476322593784212155424455
224,136,-8484579,IS160726937823708455497776
225,248,-2266335,CH1345608164647752663
226,227,2079231,LV36YKBM1546448301503
227,269,-5109053,CH8445093086995605976
228,498,9847671,SM0508380121489709336611405
229,167,-6996521,FO7737528723072371
230,140,-85559,IL695591053448126034963
231,145,-5521155,ME35548444770438112447
